Molecule Id,ID tag ,total charge,pKa mean,pKa SEM,pKa model uncertainty,SMILES of extra microstate
SM25_micro000,SM25_micro001,-1,10.49,0,1.02,NaN
SM25_micro000,SM25_micro002,0,-12.8,0,1.02,NaN
SM25_micro000,SM25_micro003,-1,-9.16,0,1.02,NaN
SM26_micro000,SM26_micro001,-1,-5.94,0,1.02,NaN
SM26_micro000,SM26_micro002,0,20.81,0,1.02,NaN
SM26_micro000,SM26_micro003,-1,-22.11,0,1.02,NaN
SM27_micro000,SM27_micro001,-1,-13.86,0,1.02,NaN
SM28_micro000,SM28_micro001,0,25.72,0,1.02,NaN
SM28_micro000,SM28_micro002,-1,-19.08,0,1.02,NaN
SM28_micro000,SM28_micro003,1,7.28,0,1.02,NaN
SM29_micro000,SM29_micro001,-1,-13.6,0,1.02,NaN
SM30_micro000,SM30_micro001,-1,-12.9,0,1.02,NaN
SM31_micro000,SM31_micro001,-1,-13.16,0,1.02,NaN
SM32_micro000,SM32_micro001,-1,-13.74,0,1.02,NaN
SM33_micro000,SM33_micro001,-1,-11.88,0,1.02,NaN
SM34_micro000,SM34_micro001,-1,-14.35,0,1.02,NaN
SM35_micro000,SM35_micro001,-1,-11.7,0,1.02,NaN
SM35_micro000,SM35_micro002,0,-1.12,0,1.02,NaN
SM35_micro000,SM35_micro003,-1,-13.2,0,1.02,NaN
SM36_micro000,SM36_micro001,-1,-9.53,0,1.02,NaN
SM36_micro000,SM36_micro002,0,-3.22,0,1.02,NaN
SM36_micro000,SM36_micro003,-1,-9.51,0,1.02,NaN
SM37_micro000,SM37_micro001,1,8.52,0,1.02,NaN
SM37_micro000,SM37_micro002,-1,-9.07,0,1.02,NaN
SM37_micro000,SM37_micro003,0,-3.03,0,1.02,NaN
SM37_micro000,SM37_micro004,-1,-9.07,0,1.02,NaN
SM37_micro000,SM37_micro005,1,7.72,0,1.02,NaN
SM38_micro000,SM38_micro001,-1,-12.42,0,1.02,NaN
SM39_micro000,SM39_micro001,-1,-10.16,0,1.02,NaN
SM40_micro000,SM40_micro001,-1,-11.46,0,1.02,NaN
SM40_micro000,SM40_micro002,1,11.28,0,1.02,NaN
SM41_micro000,SM41_micro001,-1,-6.21,0,1.02,NaN
SM41_micro000,SM41_micro002,1,9.38,0,1.02,NaN
SM42_micro000,SM42_micro001,-1,-0.39,0,1.02,NaN
SM42_micro000,SM42_micro002,1,4.63,0,1.02,NaN
SM43_micro000,SM43_micro001,-1,-1.72,0,1.02,NaN
SM43_micro000,SM43_micro002,1,8,0,1.02,NaN
SM43_micro000,SM43_micro003,2,44.38,0,1.02,NaN
SM44_micro000,SM44_micro001,-1,-8.85,0,1.02,NaN
SM44_micro000,SM44_micro002,1,7.47,0,1.02,NaN
SM45_micro000,SM45_micro001,-1,-8.25,0,1.02,NaN
SM45_micro000,SM45_micro002,1,8.01,0,1.02,NaN
SM46_micro000,SM46_micro001,-1,-8.73,0,1.02,NaN
SM46_micro000,SM46_micro002,1,6.98,0,1.02,NaN
SM46_micro000,SM46_micro003,2,46.3,0,1.02,NaN
