Molecule Id,ID tag ,total charge,pKa mean,pKa SEM,pKa model uncertainty,SMILES of extra microstate
SM25_micro000,SM25_micro001,-1,11.36,0,0.5,NaN
SM25_micro000,SM25_micro002,0,-14.89,0,0.5,NaN
SM25_micro000,SM25_micro003,-1,-8.14,0,0.5,NaN
SM26_micro000,SM26_micro001,-1,-4.33,0,0.5,NaN
SM26_micro000,SM26_micro002,0,19.5,0,0.5,NaN
SM26_micro000,SM26_micro003,-1,-21,0,0.5,NaN
SM27_micro000,SM27_micro001,-1,-12.99,0,0.5,NaN
SM28_micro000,SM28_micro001,0,25.74,0,0.5,NaN
SM28_micro000,SM28_micro002,-1,-16.37,0,0.5,NaN
SM28_micro000,SM28_micro003,1,2.79,0,0.5,NaN
SM29_micro000,SM29_micro001,-1,-11.67,0,0.5,NaN
SM30_micro000,SM30_micro001,-1,-10.37,0,0.5,NaN
SM31_micro000,SM31_micro001,-1,-11.53,0,0.5,NaN
SM32_micro000,SM32_micro001,-1,-12.03,0,0.5,NaN
SM33_micro000,SM33_micro001,-1,-10.13,0,0.5,NaN
SM34_micro000,SM34_micro001,-1,-12.16,0,0.5,NaN
SM35_micro000,SM35_micro001,-1,-10.72,0,0.5,NaN
SM35_micro000,SM35_micro002,0,0.72,0,0.5,NaN
SM35_micro000,SM35_micro003,-1,-13.04,0,0.5,NaN
SM36_micro000,SM36_micro001,-1,-9.03,0,0.5,NaN
SM36_micro000,SM36_micro002,0,-0.85,0,0.5,NaN
SM36_micro000,SM36_micro003,-1,-9.86,0,0.5,NaN
SM37_micro000,SM37_micro001,1,7.4,0,0.5,NaN
SM37_micro000,SM37_micro002,-1,-9.26,0,0.5,NaN
SM37_micro000,SM37_micro003,0,0.14,0,0.5,NaN
SM37_micro000,SM37_micro004,-1,-7.79,0,0.5,NaN
SM37_micro000,SM37_micro005,1,6.45,0,0.5,NaN
SM38_micro000,SM38_micro001,-1,-12.38,0,0.5,NaN
SM39_micro000,SM39_micro001,-1,-8.64,0,0.5,NaN
SM40_micro000,SM40_micro001,-1,-8.98,0,0.5,NaN
SM40_micro000,SM40_micro002,1,7.83,0,0.5,NaN
SM41_micro000,SM41_micro001,-1,-6.22,0,0.5,NaN
SM41_micro000,SM41_micro002,1,7.18,0,0.5,NaN
SM42_micro000,SM42_micro001,-1,-5.5,0,0.5,NaN
SM42_micro000,SM42_micro002,1,7.85,0,0.5,NaN
SM43_micro000,SM43_micro001,-1,-5.74,0,0.5,NaN
SM43_micro000,SM43_micro002,1,8,0,0.5,NaN
SM43_micro000,SM43_micro003,2,44.39,0,0.5,NaN
SM44_micro000,SM44_micro001,-1,-6.53,0,0.5,NaN
SM44_micro000,SM44_micro002,1,5.43,0,0.5,NaN
SM45_micro000,SM45_micro001,-1,-6.85,0,0.5,NaN
SM45_micro000,SM45_micro002,1,6.03,0,0.5,NaN
SM46_micro000,SM46_micro001,-1,-7.24,0,0.5,NaN
SM46_micro000,SM46_micro002,1,5.3,0,0.5,NaN
SM46_micro000,SM46_micro003,2,39.25,0,0.5,NaN
